AirportCode,Name,StateCode
12084,"Hood Bay, AK: Hood Bay Airport",AK
12086,"Shoal Cove, AK: Shoal Cove Airport",AK
12087,"Holy Cross, AK: Holy Cross Airport",AK
12088,"Hidden Falls, AK: Hidden Falls Airport",AK
12098,"Herendeen, AK: Herendeen Bay",AK
12122,"Hogatza, AK: Hogatza Airport",AK
12141,"Healy, AK: Healy River",AK
12165,"Homeshore, AK: Homeshore Airport",AK
12171,"Hoonah, AK: Hoonah Airport",AK
12175,"Haines, AK: Haines Airport",AK
12183,"Holikachuk, AK: Holikachuk Airport",AK
12184,"Homer, AK: Homer Airport",AK
12195,"Hooper Bay, AK: Hooper Bay Airport",AK
12214,"Huslia, AK: Huslia Airport",AK
12235,"Hughes, AK: Hughes Airport",AK
12248,"Hawk Inlet, AK: Hawk Inlet Airport",AK
12252,"Hydaburg, AK: Hydaburg Seaplane Base",AK
12253,"Hollis, AK: Hollis Seaplane Base",AK
12268,"Kiana, AK: Bob Baker Memorial",AK
12279,"Icy Bay, AK: Icy Bay Airport",AK
12294,"Igiugig, AK: Igiugig Airport",AK
12315,"Nikolski, AK: Nikolski AS",AK
12321,"Iliamna, AK: Iliamna Airport",AK
12370,"Circle, AK: Circle City",AK
12387,"Isabel Pass, AK: Isabel Pass Airport",AK
12509,"Cooper Lodge, AK: Quartz Creek",AK
12523,"Juneau, AK: Juneau International",AK
12554,"Juneau, AK: Juneau Seaplane Base",AK
12583,"Trading Bay, AK: Trading Bay Production",AK
12591,"Hog River, AK: Hog River Airport",AK
12610,"Kake, AK: Kake Seaplane Base",AK
12615,"Kaltag, AK: Kaltag Airport",AK
12621,"Birch Creek, AK: Birch Creek Airport",AK
12622,"Bell Island, AK: Bell Island Hot Springs Seaplane Base",AK
12624,"Klag Bay, AK: Klag Bay Airport",AK
12631,"Chignik, AK: Chignik Bay",AK
12633,"Coffman Cove, AK: Coffman Cove Seaplane Base",AK
12635,"Chignik Bay, AK: Chignik Bay Airport",AK
12638,"Chignik Lagoon, AK: Chignik Lagoon Airport",AK
12639,"Chernofski, AK: Chernofski Harbor",AK
12641,"Chignik, AK: Chignik Lake",AK
12642,"Colorado Creek, AK: Colorado Creek Airport",AK
12647,"Kodiak, AK: Kodiak Municipal",AK
12649,"Nanwalek, AK: Nanwalek Airport",AK
12653,"Ekwok, AK: Ekwok Airport",AK
12663,"False Pass, AK: False Pass Airport",AK
12671,"Koliganek, AK: Koliganek Airport",AK
12676,"Grayling, AK: Grayling Airport",AK
12677,"Glacier Creek, AK: Glacier Creek Airport",AK
12686,"Ivanof Bay, AK: Ivanof Bay Seaplane Base",AK
12704,"Koyuk, AK: Koyuk Alfred Adams",AK
12705,"Kitoi Bay, AK: Kitoi Bay Airport",AK
12708,"Kongiganak, AK: Kongiganak Airport",AK
12709,"Akiachak, AK: Akiachak Airport",AK
12711,"Kalakaket, AK: Kalakaket Creek AS",AK
12712,"Karluk Lake, AK: Karluk Lake Seaplane Base",AK
12716,"Ekuk, AK: Ekuk Airport",AK
12719,"Kalskag, AK: Kalskag Airport",AK
12720,"Levelock, AK: Levelock Airport",AK
12721,"Larsen Bay, AK: Larsen Bay Airport",AK
12723,"Kelp Bay, AK: Kelp Bay Airport",AK
12728,"Klawock, AK: Klawock Airport",AK
12737,"Manokotak, AK: Manokatak Seaplane Base",AK
12743,"Moser Bay, AK: Moser Bay Airport",AK
12748,"Kokhanok, AK: Kokhanok Airport",AK
12755,"New Stuyahok, AK: New Stuyahok Airport",AK
12769,"Kotlik, AK: Kotlik Airport",AK
12771,"Olga Bay, AK: Olga Bay Seaplane Base",AK
12772,"Ouzinkie, AK: Ouzinkie Airport",AK
12773,"Point Baker, AK: Point Baker Airport",AK
12774,"Port Clarence, AK: Port Clarence CGS",AK
12775,"Pauloff Harbor, AK: Pauloff Harbor Airport",AK
12777,"Parks, AK: Parks Seaplane Base",AK
12778,"Napamute, AK: Napamute Airport",AK
12779,"Kipnuk, AK: Kipnuk Airport",AK
12782,"Port Williams, AK: Port Williams Airport",AK
12784,"Perryville, AK: Perryville Airport",AK
12785,"Port Bailey, AK: Port Bailey Airport",AK
12786,"Akutan, AK: Akutan Airport",AK
12790,"Kasitsna Bay, AK: Kasitsna",AK
12807,"St. Mary's, AK: St. Mary's Airport",AK
12812,"Sandy River, AK: Federal No.1",AK
12815,"Thorne Bay, AK: Thorne Bay Seaplane Base",AK
12819,"Ketchikan, AK: Ketchikan International",AK
12822,"Brevig Mission, AK: Brevig Mission Airport",AK
12831,"Kasigluk, AK: Kasigluk Airport",AK
12837,"Kugururok River, AK: Kugururok River Airport",AK
12841,"King Cove, AK: King Cove Airport",AK
12844,"Kivalina, AK: Kivalina Airport",AK
12847,"Waterfall, AK: Waterfall Seaplane Base",AK
12851,"Kwigillingok, AK: Kwigillingok Airport",AK
12853,"Quinhagak, AK: Quinhagak Airport",AK
12854,"West Point, AK: West Point Village",AK
12855,"Kwethluk, AK: Kwethluk Airport",AK
12857,"Kasaan, AK: Kasaan Seaplane Base",AK
